id,name,brand,category,store_id,price,discount,stock,image_count,image_first
102ededa-37c2-4649-aab8-204cc795b295,Nike Dri-FIT Team (MLB Minnesota Twins),Nike,Men's Long-Sleeve T-Shirt,129613c2-1fb8-453f-ba05-ef44b013e1d5,40,42,1000,1,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/0116e668-a77e-402d-b89f-04647db0f0ad/dri-fit-team-minnesota-twins-mens-long-sleeve-t-shirt-6Wdjql.png"
59b2bd08-23b2-4c06-961d-06b55b979dce,Club América,Nike,Women's Nike Dri-FIT Soccer Jersey Dress,c6f3e6a1-dc16-41db-9df9-195a6dd44ec6,90,41,1000,4,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/3f1d69c3-9a25-4e62-bd8e-e855d55c5d1e/club-am%C3%A9rica-womens-dri-fit-soccer-jersey-dress-MP2NrK.png"
71c9e2d1-9b77-4118-90a6-6b2f6a2e083c,Nike Sportswear Swoosh,Nike,Men's Overalls,1f940c8e-467f-4144-821b-15050e8bff05,140,11,1000,4,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/c5e0b271-ad6a-40fc-bd99-e74a8fd183fa/sportswear-swoosh-mens-overalls-rKsQ2c.png"
9b550721-868c-4b4f-a52f-5810ab616ddd,Nike Dri-FIT One Luxe,Nike,Big Kids' (Girls') Printed Tights (Extended Size),8c810918-3267-4b52-a960-7b155c146950,22,23,1000,4,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/d5b9ae85-e70b-4bbf-b617-426325dd8d94/dri-fit-one-luxe-big-kids-girls-printed-tights-extended-size-fjSmdw.png"
12cba1db-16e4-4d60-8c6d-1053bf78c788,Paris Saint-Germain Repel Academy AWF,Nike,Big Kids' Soccer Jacket,00000000-0000-0000-0000-000000000000,70,19,1000,4,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/6feabe80-6470-44c1-8427-55d0c41f5768/paris-saint-germain-repel-academy-awf-big-kids-soccer-jacket-95TSKB.png"
70264ee9-9a59-42a0-b791-bc13a9ad4e4f,NFL Miami Dolphins (Mike Gesicki),Nike,Men's Game Football Jersey,1f940c8e-467f-4144-821b-15050e8bff05,130,33,1000,1,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/113bb00a-97ba-4120-b2f8-d2e0ec4db7f8/miami-dolphins-mike-gesicki-mens-game-football-jersey-dspWwb.png"
a3cd43be-cd9c-4a8a-88dd-02eae183bac3,Kristaps Porziņģis Knicks Icon Edition,Nike,Nike NBA Swingman Jersey,87775eb6-0f1e-4bf2-a2c0-c66565066822,104,23,1000,4,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/ypgigxp9uzsnjm9jqkj7/kristaps-porzingis-knicks-icon-edition-nba-swingman-jersey-gxdwkz.png"
4c71c596-5a16-457c-9f4b-d4aa2ecbc34b,Nike College (Oregon),Nike,Men's Max 90 T-Shirt,01e3da9f-c876-4660-b590-d8a9d8115fc5,18,38,1000,1,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/6aa5cc48-7a3f-483c-9aaf-4500c91f71e2/oregon-mens-max-90-t-shirt-S2Lq7n.png"
a4866716-ff7b-4c9d-9ac5-d185572d5377,Nike Sportswear,Nike,Men's Logo T-Shirt,d619fc4b-e939-42f3-a42c-46e9e73696c2,28,31,1000,4,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/88dae55d-e141-4a34-97df-5ef2dae0e5fd/sportswear-mens-logo-t-shirt-vKCNwD.png"
05d3075a-ab37-4f79-ae64-b65276d2f08c,Nike Therma Crucial Catch (NFL Miami Dolphins),Nike,Men's Pullover Hoodie,129613c2-1fb8-453f-ba05-ef44b013e1d5,85,38,1000,1,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/f0ebd9f7-c14c-495c-8933-c51520683c1c/therma-crucial-catch-miami-dolphins-mens-pullover-hoodie-n2VZrQ.png"
4f907d6d-3ce1-48bd-9422-603ca1ee8a0b,Nike Sportswear Tech Fleece,Nike,Little Kids' Joggers,93d4e373-94b9-4deb-b208-70f20065825b,45,6,1000,1,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/cunwor9o2glsdy3jcvou/sportswear-tech-fleece-little-kids-joggers-1LgwDr.png"
1c6d69d4-82d3-4c7e-8275-75c747bb5e5e,Paris Saint-Germain Strike,Nike,Big Kids' Nike Dri-FIT Short-Sleeve Soccer Top,96b99b77-da29-4c46-a93d-0aa94a993769,45,19,1000,4,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/4137402a-cc88-4d73-b11e-f62d6e6e2acf/paris-saint-germain-strike-big-kids-dri-fit-short-sleeve-soccer-top-xXsvqC.png"
